"School.Name","Principal","Grades","Division.Schools","Street.Adress.and.Phone.Number","Phone.Number","City","Zip","State"
"S. Gordon Stewart Middle","Mr. Michael Conner","09-12","Augusta County Public Schools","118 Fort Defiance Rd","540-245-5046","Fort Defiance","24437","VA"
"Salem Church Elementary","Natasha Wade","09-12","Chesterfield County Public Schools","9600 Salem Church Rd.","804-768-6215","North Chesterfield","23237-3130","VA"
"Salem Elementary","Tara Schohn","PK-5","Spotsylvania County Public Schools","4501 Jackson Rd","540-786-8218","Fredericksburg","22407","VA"
"Salem Elementary","Maureen E. Fanelli","PK-5","Virginia Beach Public Schools","3961 Salem Lakes Blvd","757-648-3680","Virginia Beach","23456","VA"
"Salem High","Mr. Scott Habeeb","06-08","Salem Public Schools","400 Spartan Dr","540-387-2437","Salem","24153-3296","VA"
"Salem High","Leeane Turnbull-Pallette","06-08","Virginia Beach Public Schools","1993 Sun Devil Dr","757-648-5650","Virginia Beach","22464-8522","VA"
"Salem Middle","Dr. Tamika Singletary-Johnson","09-12","Virginia Beach Public Schools","2380 Lynnhaven Pkwy","757-648-5000","Virginia Beach","23464","VA"
"Saltville Elementary","Ms. Mitzi Frye","06-08","Smyth County Public Schools","1013 E Main St","276-496-4751","Saltville","24370","VA"
"Samuel L. Gravely Jr. Elementary","Michael Kelchlin","06-08","Prince William County Public Schools","4670 Waverly Farm Drive","571-248-4930","Haymarket","20169","VA"
"Samuel P. Langley Elementary","Ms. Elizabeth W. Franks","07-08","Hampton Public Schools","16 Rockwell Rd","757-850-5105","Hampton","23669","VA"
"Samuel W. Tucker Elementary","C. Rene Paschal","09-12","Alexandria Public Schools","435 Ferdinand Day Dr","703-933-6300","Alexandria","22304","VA"
"Sandburg Middle","Darwin Barker","09-12","Fairfax County Public Schools","8428 Fort Hunt Rd","703-799-6100","Alexandria","22308","VA"
"Sanders Corner Elementary","Michael Jacques","06-08","Loudoun County Public Schools","43100 Ashburn Farm Pkwy","571-252-2250","Ashburn","20147","VA"
"Sandston Elementary","Kimberly F. Powell","09-12","Henrico County Public Schools","7 Naglee Ave","804-328-4055","Sandston","23150","VA"
"Sandusky Elementary","Mr. Derrick E. Womack","08-12","Lynchburg Public Schools","5828 Apache Ln","434-515-5280","Lynchburg","24502-4998","VA"
"Sandusky Middle","Mr. Matthew A. Mason","09-12","Lynchburg Public Schools","805 Chinook Place","434-515-5350","Lynchburg","24502-4999","VA"
"Sandy Hook Elementary","Ms. Robin Shrum","09-12","Shenandoah County Public Schools","162 Stickley Loop","540-465-8281","Strasburg","22657","VA"
"Sangster Elementary","Allison Jankovich","09-12","Fairfax County Public Schools","7420 Reservation Dr","703-644-8200","Springfield","22153","VA"
"Sanville Elementary","Mr. Joshua Eanes","09-12","Henry County Public Schools","19 Sanville School Rd","276-629-5301","Bassett","24055","VA"
"Saratoga Elementary","Erica Loesch","05-08","Fairfax County Public Schools","8111 Northumberland Rd","703-440-2600","Springfield","22153","VA"
"Schoolfield Elementary","LaTonya Simmons","06-08","Danville Public Schools","1400 W Main St","434-799-6455","Danville","24541","VA"
"Scott County Career and Technical Center","Mr. William Gregory Ervin","07-08","Scott County Public Schools","387 Broadwater Ave","276-386-6515","Gate City","24251","VA"
"Scott Memorial Middle","Mrs. Kim M Kirtner","06-08","Wythe County Public Schools","950 S. Seventh St.","276-228-2851","Wytheville","24382","VA"
"Scottsburg Elementary","Ms. Sherry H. Cowan","09-12","Halifax County Public Schools","1010 Scottsburg School Trail","434-454-6454","Scottsburg","24589","VA"
"Scottsville Elementary","Staci England","06-08","Albemarle County Public Schools","7868 Scottsville Road","434-286-2441","Scottsville","24590-9792","VA"
"Seaford Elementary","Barbara Nagel","01-08","York County Public Schools","1105 Seaford Rd","757-898-0352","Seaford","23696","VA"
"Seatack Elementary an Achievable Dream Academy","Vincent M. Darby Sr.","06-08","Virginia Beach Public Schools","912 S Birdneck Road","757-648-3720","Virginia Beach","23451-1111","VA"
"Sedgefield Elementary","Jacky Barber","06-12","Newport News Public Schools","804 Main Street","757-591-4792","Newport News","23605","VA"
"Seldens Landing Elementary","Garett Brazina","09-12","Loudoun County Public Schools","43345 Coton Commons Dr.","571-252-2260","Leesburg","20176","VA"
"Seneca Ridge Middle","Nick Cottone","09-12","Loudoun County Public Schools","98 Seneca Ridge Dr","571-434-4420","Sterling","20164","VA"
"Seven Pines Elementary","Dr. Donice J. Davenport","06-08","Henrico County Public Schools","301 Beulah Rd","804-328-4065","Sandston","23150","VA"
"Sewells Point Elementary","Cleveland Walton","02-04","Norfolk Public Schools","7928 Hampton Blvd","757-451-4160","Norfolk","23505","VA"
"Shady Grove Elementary","Ellen Jane Guidry","06-08","Henrico County Public Schools","12200 Wyndham Lake Dr","804-360-0825","Glen Allen","23059","VA"
"Sharon C. McAuliffe Elementary","Ms. Janice Herritt","06-08","Prince William County Public Schools","13540 Princedale Dr","703-680-7270","Woodbridge","22193","VA"
"Sharon Elementary","Thomas L. Dobbs","09-12","Alleghany County Public Schools","100 Sharon School Circle","540-863-1712","Clifton Forge","24422","VA"
"Shawsville Middle","Mr. Micah Mefford","07-08","Montgomery County Public Schools","4179 Old Town Rd","540-268-2262","Shawsville","24162","VA"
"Sheffey Elementary","Mr. Dyer Jackson III","09-12","Wythe County Public Schools","621 Piney Mt. Rd","276-699-1771","Wytheville","24382","VA"
"Sheffield Elementary","Ms. Lisa P. Lee","06-08","Lynchburg Public Schools","115 Kenwood Place","434-515-5290","Lynchburg","24502-2119","VA"
"Shelburne Middle","Mrs. Jennifer Morris","09-12","Staunton Public Schools","300 Grubert Ave","540-332-3930","Staunton","24401-2996","VA"
"Shelton Park Elementary","Ms. Tara M. Brewer","06-08","Virginia Beach Public Schools","1700 Shelton Rd","757-648-3760","Virginia Beach","23455","VA"
"Shenandoah Elementary","Mrs. Monica Hinegardner","06-08","Page County Public Schools","529 4th Street","540-652-8621","Shenandoah","22849","VA"
"Sherando High","Mr. John H. Nelson","09-12","Frederick County Public Schools","185 South Warrior Drive","540-869-0060","Stephens City","22655","VA"
"Sherman Elementary","Kathleen Quigley","09-12","Fairfax County Public Schools","6633 Brawner St","703-506-7900","McLean","22101","VA"
"Sherwood Forest Elementary","Dennis Holland","09-12","Norfolk Public Schools","3035 Sherwood Forest Lane","757-852-4500","Norfolk","23513","VA"
"Shirley C. Heim Middle","Mr. Eric Underhill","09-12","Stafford County Public Schools","320 Telegraph Road","540-658-5910","Stafford","22554","VA"
"Shoemaker Elementary","Ms. Renee Dishner","05-08","Scott County Public Schools","218 Shoemaker Dr","276-386-7002","Gate City","24251","VA"
"Short Pump Elementary","Paige C. Smith","07-08","Henrico County Public Schools","3425 Pump Rd","804-360-0812","Richmond","23233","VA"
"Short Pump Middle","Kimberly G. Sigler","05-08","Henrico County Public Schools","4701 Pouncey Tract Rd","804-360-0800","Glen Allen","23060","VA"
"Shrevewood Elementary","Joshua DeSmyter","06-08","Fairfax County Public Schools","7525 Shreve Rd","703-645-6600","Falls Church","22043","VA"
"Signal Hill Elementary","Ms. Carrie Webb","09-12","Prince William County Public Schools","9553 Birmingham Dr","703-530-7541","Manassas","20111","VA"
"Signal Knob Middle","Ms. Holly W. Rusher","01-08","Shenandoah County Public Schools","687 Sandy Hook Road","540-465-3422","Strasburg","22657","VA"
"Silverbrook Elementary","Pamela Simpkins","09-12","Fairfax County Public Schools","9350 Crosspointe Dr","703-690-5100","Fairfax Station","22039","VA"
"Simonsdale Elementary","Miss Tammy King","06-08","Portsmouth Public Schools","4841 Clifford Street","757-465-2917","Portsmouth","23701-1004","VA"
"Sinai Elementary","Mrs. Francine W. Davis","09-12","Halifax County Public Schools","1011 Sinai Elementary Drive","434-476-6193","Halifax","24558","VA"
"Skipwith Elementary","Todd A. Smith","09-12","Henrico County Public Schools","2401 Skipwith Rd","804-527-4650","Richmond","23294","VA"
"Skyline High","Mrs. Danelle S. Sperling","06-08","Warren County Public Schools","151 Skyline Vista Drive","540-631-0366","Front Royal","22630","VA"
"Skyline Middle","Mr. Daniel Kirwan","09-12","Harrisonburg Public Schools","470 Linda Lane","540-434-6862","Harrisonburg","22802","VA"
"Skyline Middle","Mr. Robert F. Johnston","09-12","Warren County Public Schools","240 Luray Avenue","540-636-0909","Front Royal","22630","VA"
"Sleepy Hollow Elementary","Mattie Fallen","06-08","Fairfax County Public Schools","3333 Sleepy Hollow Rd","703-237-7000","Falls Church","22044","VA"
"Smart's Mill Middle","Will Waldman","09-12","Loudoun County Public Schools","850 N. King St.","571-252-2030","Leesburg","20176","VA"
"Smith Station Elementary","Mrs. Terrie L. Cagle","09-12","Spotsylvania County Public Schools","7320 Smith Station Road","540-786-5443","Fredericksburg","22407","VA"
"Smithfield High","Mr. Bryan Thrift","09-12","Isle of Wight County Public Schools","14171 Turner Dr","757-357-3108","Smithfield","23430","VA"
"Smithfield Middle","Mrs. Kristy Buggs","06-08","Isle of Wight County Public Schools","14175 Turner Drive","757-365-4100","Smithfield","23430","VA"
"Smithland Elementary","Ms. Janis Churchill","09-12","Harrisonburg Public Schools","474 Linda Lane","540-434-6075","Harrisonburg","22802","VA"
"Smyth County Career & Technical Center","Mr. Richard K. Blevins","09-12","Smyth County Public Schools","147 Fox Valley Rd","276-646-8117","Marion","24354","VA"
"Snow Creek Elementary","Mr. Kenneth Grindstaff","05-07","Franklin County Public Schools","5393 Snow Creek Rd","540-483-5599","Penhook","24137","VA"
"Snowville Elementary","Amy Shrewsbury","06-08","Pulaski County Public Schools","4858 Lead Mine Rd","540-643-0766","Hiwassee","24347","VA"
"Sonnie Penn Elementary","Dr. Elliot Bolles","09-12","Prince William County Public Schools","12980 Queen Chapel Rd","703-590-0344","Woodbridge","22193","VA"
"Sontag Elementary","Ms. Gail Brendle","07-08","Franklin County Public Schools","3101 Sontag Rd","540-483-5667","Rocky Mount","24151","VA"
"South Anna Elementary","Ms. Alicia Cecil","06-12","Hanover County Public Schools","13122 Waltons Tavern Road","804-883-6089","Montpelier","23192","VA"
"South Boston Elementary","Mr. Dennis D. Seamster","06-08","Halifax County Public Schools","2320 Parker Avenue","434-517-2620","South Boston","24592","VA"
"South Boston/Halifax Early Learning Center","Mrs. Priscilla E. Price","01-08","Halifax County Public Schools","1927 Jeffress Blvd.","434-572-4273","South Boston","24592","VA"
"South County High","Gary Morris","09-12","Fairfax County Public Schools","8501 Silverbrook Road","703-446-1600","Lorton","22079","VA"
"South County Middle","Peter Kownacki","09-12","Fairfax County Public Schools","8700 Laurel Crest Dr.","703-690-5500","Lorton","22079","VA"
"South Elementary","Ms. Susan Braswell","03-05","Prince George County Public Schools","13400 Prince George Dr","804-733-2755","Disputanta","23842","VA"
"South Hill Elementary","Mrs. Michele G. Icenhour","09-12","Mecklenburg County Public Schools","1290 Plank Road","434-447-8134","South Hill","23970","VA"
"South Lakes High","Kimberly Retzer","05-07","Fairfax County Public Schools","11400 South Lakes Dr","703-715-4500","Reston","20191-4199","VA"
"South River Elementary","Ms. Ashley Houff","09-12","Rockingham County Public Schools","2101 Elm Ave","540-249-4001","Grottoes","24441","VA"
"South Salem Elementary","Laura James","09-12","Salem Public Schools","1600 Carolyn Rd","540-387-2478","Salem","24153-5999","VA"
"Southampton Elementary","Mrs. Sheleta R. Crews","09-12","Richmond Public Schools","3333 Cheverly Rd","804-320-2434","Richmond","23225-1499","VA"
"Southampton Middle","Mr. Darian Bell","06-08","Southampton County Public Schools","23450 Southampton Pkwy","757-653-9250","Courtland","23837","VA"
"Southeastern Elementary","Ms. Melissa A. Fuller","09-12","Chesapeake Public Schools","1853 Battlefield Blvd S","757-421-7676","Chesapeake","23322","VA"
"Southside Elementary","Mrs. Sheri Culbreath","09-12","Dinwiddie County Public Schools","10305 Boydton Plank Rd","804-469-4480","Dinwiddie","23841","VA"
"Southside Elementary","Dr. Leslie Hackworth","09-12","Pittsylvania County Public Schools","440 East Witt Rd","434-836-0006","Blairs","24527","VA"
"Southside STEM Academy at Campostella","Lenthia Willie-Clark","06-08","Norfolk Public Schools","1106 Campostella Rd.","757-628-2555","Norfolk","23523","VA"
"Southwestern Elementary","Mrs. Tiffany N. J. Johnson","04-06","Chesapeake Public Schools","4410 Airline Blvd","757-465-6310","Chesapeake","23321","VA"
"Southwestern Elementary","Mrs. Lori S Mounie","06-08","Suffolk Public Schools","150 Pioneer Rd","757-925-5782","Suffolk","23437","VA"
"Sparrow Road Intermediate","Ms. Sharon L. Popson","09-12","Chesapeake Public Schools","1605 Sparrow Rd","757-578-7050","Chesapeake","23325","VA"
"Speedwell Elementary","Ms. Allison Wright","06-08","Wythe County Public Schools","6820 Cedar Springs Rd","276-621-4622","Speedwell","24374","VA"
"Spiller Elementary","Mr. Scott Hoagland","05-07","Wythe County Public Schools","330 Tazewell St","276-228-3561","Wytheville","24382","VA"
"Spotswood Elementary","Deb Cook","08-12","Harrisonburg Public Schools","400 Mountain View Drive","540-434-3429","Harrisonburg","22801","VA"
"Spotswood Elementary","Nicole Ochs","06-08","Spotsylvania County Public Schools","400 Lorraine Ave","540-898-1514","Fredericksburg","22408","VA"
"Spotswood High","Mr. Robert Dansey","06-08","Rockingham County Public Schools","368 Blazer Drive","540-289-3100","Penn Laird","22846","VA"
"Spotsylvania Career and Technical Center","Mr. Reitha Abed","06-08","Spotsylvania County Public Schools","6713 Smith Station Rd","540-898-2655","Spotsylvania","22553","VA"
"Spotsylvania Elementary","Bob MacDonald","06-08","Spotsylvania County Public Schools","7415 Brock Rd","540-582-5445","Spotsylvania","22553","VA"
"Spotsylvania High","Kelly Guempel","09-12","Spotsylvania County Public Schools","6975 Courthouse Rd","540-582-3882","Spotsylvania","22551","VA"
"Spotsylvania Middle","Michael Lane Byrd","09-12","Spotsylvania County Public Schools","8801 Courthouse Rd","540-582-6341","Spotsylvania","22553","VA"
"Spring Hill Elementary","Maria Eck","08-12","Fairfax County Public Schools","8201 Lewinsville Rd","703-506-3400","McLean","22102","VA"
"Spring Run Elementary","Christopher Hart","06-08","Chesterfield County Public Schools","13901 Spring Run Rd","804-639-6352","Midlothian","23112-1708","VA"
"Springfield Elementary","Mr. Craig Tutt","06-08","Page County Public Schools","158 Big Spring Lane","540-743-3750","Rileyville","22650","VA"
"Springfield Estates Elementary","Eleanor Contreras","06-08","Fairfax County Public Schools","6200 Charles Goff Dr","703-921-2300","Springfield","22150","VA"
"Springfield Park Elementary","Tracy M. Spain","01-08","Henrico County Public Schools","4301 Fort McHenry Pkwy","804-527-4630","Glen Allen","23060","VA"
"Springwoods Elementary","Janeene Mainor","09-12","Prince William County Public Schools","3815 Marquis Place","703-590-9874","Woodbridge","22192","VA"
"St. Charles Elementary","Ms. Kellie Leonard","03-05","Lee County Public Schools","2434 St. Charles Road","276-383-4531","St Charles","24282","VA"
"St. Clare Walker Middle","Mrs. Elizabeth Sanders","06-08","Middlesex County Public Schools","6814 General Puller Highway","804-758-2561","Locust Hill","23092","VA"
"St. Helena Elementary","Angel Robinson","06-08","Norfolk Public Schools","903 S Main St","757-494-3884","Norfolk","23523","VA"
"St. Paul","Mr. Leonard Alvin Davidson","09-12","Carroll County Public Schools","231 Flower Gap Road","276-755-3512","Cana","24317","VA"
"St. Paul Elementary","Dr. Karen Dickenson","06-08","Wise County Public Schools","3200 Deacon Drive","276-762-5941","St Paul","24283","VA"
"Stafford Elementary","Ms. Stefanie D. Sanders","06-08","Stafford County Public Schools","1349 Courthouse Rd","540-658-6340","Stafford","22554","VA"
"Stafford Middle","Mr. Scott S. Elchenko","06-08","Stafford County Public Schools","101 Spartan Dr","540-658-6210","Stafford","22554","VA"
"Stafford Senior High","Mr. Allen J. Hicks","09-12","Stafford County Public Schools","63 Stafford Indian Lane","540-371-7200","Fredericksburg","22405","VA"
"Stanley Elementary","Mrs. Anita Webb","09-12","Page County Public Schools","306 Aylor Grubbs Ave","540-778-2612","Stanley","22851","VA"
"Stanleytown Elementary","Mrs. Laryssa Hairston-Penn","09-12","Henry County Public Schools","74 Edgewood Dr","276-629-5084","Stanleytown","24168","VA"
"Staunton High","Nate Collins","09-12","Staunton Public Schools","1200 N Coalter St","540-332-3926","Staunton","24401-2598","VA"
"Staunton River High","Mrs. Darcy Parker","06-08","Bedford County Public Schools","1095 Golden Eagle Dr","540-297-7151","Moneta","24121","VA"
"Stenwood Elementary","Erica Riley","06-08","Fairfax County Public Schools","2620 Gallows Rd","703-208-7600","Vienna","22180","VA"
"Sterling Elementary","Jennifer Meres Short","07-08","Loudoun County Public Schools","200 W Church Rd","571-434-4580","Sterling","20164","VA"
"Sterling Middle","Colleen O'Neill","06-08","Loudoun County Public Schools","201 W Holly Ave","571-434-4520","Sterling","20164","VA"
"Steuart W. Weller Elementary","Julia Burton","09-12","Loudoun County Public Schools","20700 Marblehead Drive","571-252-2360","Ashburn","20147","VA"
"Stewartsville Elementary","Denise Gerstler","05-08","Bedford County Public Schools","1138 Wildcat Rd","540-890-2174","Goodview","24095","VA"
"Stone Bridge High","Timothy Flynn","06-08","Loudoun County Public Schools","43100 Hay Road","571-252-2200","Ashburn","20147","VA"
"Stone Hill Middle","Kathryn Clark","09-12","Loudoun County Public Schools","23415 Evergreen Ridge Drive","703-957-4420","Ashburn","20148","VA"
"Stone Middle","Meredith Norris","09-12","Fairfax County Public Schools","5500 Sully Park Dr.","703-631-5500","Centreville","20120","VA"
"Stone Robinson Elementary","Angela Stokes","09-12","Albemarle County Public Schools","958 North Milton Road","434-296-3754","Charlottesville","22911-3612","VA"
"Stone Spring Elementary","Kathleen Taylor","09-12","Harrisonburg Public Schools","1575 Peach Grove Ave","540-574-1199","Harrisonburg","22801","VA"
"Stonehouse Elementary","Melissa White","06-08","Williamsburg-James City County Public Schools","3651 Rochambeau Dr","757-566-4300","Williamsburg","23188","VA"
"Stonewall Elementary","Mr. Mark Weisbrod","06-08","Frederick County Public Schools","3165 Martinsburg Pike","540-662-2289","Clear Brook","22624","VA"
"Stonewall Jackson Elementary","Dr. Linda Brittle","07-08","Bristol Public Schools","2045 Euclid Ave","276-821-5740","Bristol","24201","VA"
"Stoney Run Elementary","Karnesha Ford","06-08","Newport News Public Schools","855 Lucas Creek Rd","757-886-7755","Newport News","23608","VA"
"Stony Mill Elementary","Kimberly Haymore","09-12","Pittsylvania County Public Schools","100 Stony Mill Elementary Cir","434-685-7545","Danville","24541","VA"
"Stony Point Elementary","Maureen Jensen","09-12","Albemarle County Public Schools","3893 Stony Point Road","434-973-6405","Keswick","22947-1503","VA"
"Strasburg High","Ms. Melissa Foltz","06-08","Shenandoah County Public Schools","250 Ram Drive","540-465-5195","Strasburg","22657","VA"
"Stratford Landing Elementary","Kevin Morris","06-08","Fairfax County Public Schools","8484 Riverside Rd","703-619-3600","Alexandria","22308","VA"
"Strawbridge Elementary","Jacqueline Y. Sargent","09-12","Virginia Beach Public Schools","2553 Strawbridge Rd","757-648-3800","Virginia Beach","23456","VA"
"Stuart Elementary","Mrs. Sandra Clement","06-08","Patrick County Public Schools","314 Staples Ave","276-694-7139","Stuart","24171","VA"
"Stuart M. Beville Middle","Timothy Keenan","06-08","Prince William County Public Schools","4901 Dale Blvd","703-878-2593","Woodbridge","22193","VA"
"Stuarts Draft Elementary","Ms. Tina W. Bowersox","07-08","Augusta County Public Schools","63 School Blvd","540-337-2951","Stuarts Draft","24477","VA"
"Stuarts Draft High","Mr. James Franklin Nycum","09-12","Augusta County Public Schools","1028 Augusta Farm Rd","540-946-7600","Stuarts Draft","24477","VA"
"Stuarts Draft Middle","Mr. Charles Scott Musick","09-12","Augusta County Public Schools","1088 Augusta Farm Rd","540-946-7611","Stuarts Draft","24477","VA"
"Suburban Park Elementary","Andrea Jennings","06-08","Norfolk Public Schools","310 Thole St","757-531-3118","Norfolk","23505","VA"
"Sudley Elementary","Kevin Conroy","09-12","Prince William County Public Schools","9744 Copeland Dr","703-361-3444","Manassas","20109","VA"
"Suella G. Ellis Elementary","Laura Gazda","09-12","Prince William County Public Schools","10400 Kim Graham Lane","703-365-0287","Manassas","20109","VA"
"Sugar Grove Elementary","Amy Wheeler","08-12","Smyth County Public Schools","242 Teas Rd","276-677-3311","Sugar Grove","24375","VA"
"Sugarland Elementary","Dr. Gail Brady","09-12","Loudoun County Public Schools","65 Sugarland Run Dr","571-434-4460","Sterling","20164","VA"
"Sully Elementary","John Tuck","09-12","Loudoun County Public Schools","300 Circle Dr","571-434-4570","Sterling","20164","VA"
"Summer Hill Preschool Center","Ms. Kelly Tobe","09-12","Richmond Public Schools","2717 Alexander Avenue","804-780-4593","Richmond","23234","VA"
"Sunnyside Elementary","Mr. Brenton Byrd","09-12","Dinwiddie County Public Schools","10203 Melvin B. Alsbrooks Avenue","804-478-2313","Mckenney","23872","VA"
"Sunrise Valley Elementary","Kevin West","05-08","Fairfax County Public Schools","10824 Cross School Rd","703-715-3800","Reston","20191-5199","VA"
"Surry County High","Ms. Courtney Ward","06-08","Surry County Public Schools","1675 Hollybush Rd","757-267-2211","Dendron","23839-2201","VA"
"Surry Elementary","Ms. Ann Marie Nelin","07-08","Surry County Public Schools","1600 Hollybush Rd","757-267-2558","Dendron","23839-9713","VA"
"Susie G. Gibson Science and Technology Center","Mr. Troy Doss","06-08","Bedford County Public Schools","600 Edmund St","540-586-3933","Bedford","24523","VA"
"Sussex Central Elementary","Ms. Denise Webb","09-12","Sussex County Public Schools","21392 Sussex Drive","434-246-8960","Stony Creek","23882-3751","VA"
"Sussex Central High","Mrs. Belinda Urquhart","06-08","Sussex County Public Schools","21394 Sussex Drive","434-246-6051","Sussex","23884-0307","VA"
"Sussex Central Middle","Mr. James Holemon","01-08","Sussex County Public Schools","21356 Sussex Drive","434-246-2251","Sussex","23884","VA"
"Sutherland Elementary","Dr. Heather Amanda Clay","06-08","Dinwiddie County Public Schools","6000 R. B. Pamplin Drive","804-732-4168","Sutherland","23885","VA"
"Swans Creek Elementary","Ms. Amanda Whitney","06-08","Prince William County Public Schools","17700 Wayside Dr.","703-445-0930","Dumfries","22026","VA"
"Swansboro Elementary","James Sales","06-12","Richmond Public Schools","3160 Midlothian Tnpk","804-780-5030","Richmond","23224-1926","VA"
"Swanson Middle","Renee Harber","09-12","Arlington County Public Schools","5800 N Washington Blvd","703-228-5500","Arlington","22205","VA"
"Swift Creek Middle","Edward Maynes","06-08","Chesterfield County Public Schools","3700 Old Hundred Rd","804-739-6315","Midlothian","23112-4702","VA"
"Swords Creek Elementary","Mrs. Christy Bowman","02-04","Russell County Public Schools","3867 Swords Creek Rd.","276-991-0016","Swords Creek","24649","VA"
"Sycamore Park Elementary","Mr. Derek McWilliams","06-08","Culpeper County Public Schools","451 Radio Ln","540-825-8847","Culpeper","22701","VA"
"Sycolin Creek Elementary","Derek Racino","06-08","Loudoun County Public Schools","21100 Evergreen Mills Road","571-252-2910","Leesburg","20175","VA"
"Sydnor Jennings Elementary","Ms. Linda C. Owen","09-12","Halifax County Public Schools","1011 Sydnor Jennings Rd","434-349-1013","Nathalie","24577","VA"
"T. Benton Gayle Middle","Ms. Katie B. Werner","06-08","Stafford County Public Schools","100 Panther Drive","540-373-0383","Fredericksburg","22406","VA"
"T. Clay Wood Elementary","Andrew R. Buchheit","08-12","Prince William County Public Schools","10600 Kettle Run Road","703-594-3990","Nokesville","20109","VA"
"T. Ryland Sanford Elementary","Megan Auman","06-08","Newport News Public Schools","480 Colony Road","757-886-7778","Newport News","23602","VA"
"T.C. Miller Elementary for Innovation","Mr. Jeff Guerin","08-12","Lynchburg Public Schools","600 Mansfield Ave","434-515-5300","Lynchburg","24501-3340","VA"
"Tabb Elementary","Ms. Mary Lugo","06-08","York County Public Schools","3711 Big Bethel Rd","757-898-0372","Yorktown","23693","VA"
"Tabb High","Paul Rice","09-12","York County Public Schools","4431 Big Bethel Rd","757-867-7400","Yorktown","23693","VA"
"Tabb Middle","Heather J. Young","08-12","York County Public Schools","300 Yorktown Rd","757-898-0320","Yorktown","23693","VA"
"Tallwood Elementary","Lisa A. Suter","05-07","Virginia Beach Public Schools","2025 Kempsville Rd","757-648-3840","Virginia Beach","23464-6805","VA"
"Tallwood High","Mrs. Jobynia G. Caldwell","09-12","Virginia Beach Public Schools","1668 Kempsville Rd","757-648-5700","Virginia Beach","23464","VA"
"Tangier Combined","Mrs. Sharon Haynie","02-03","Accomack County Public Schools","4375 School Lane","757-891-2315","Tangier","23440","VA"
"Tanners Creek Elementary","Rhonda Harris","09-12","Norfolk Public Schools","1335 Longdale Dr","757-852-4555","Norfolk","23513","VA"
"Tappahannock Elementary","Mrs. Janet Garland","09-12","Essex County Public Schools","205 Elementary School Circle","804-443-5301","Tappahannock","22560","VA"
"Tarrallton Elementary","Michael Swan","09-12","Norfolk Public Schools","2080 Tarrallton Dr","757-531-1800","Norfolk","23518","VA"
"Tazewell County Career & Technical Center","Cynthia Hurley","09-12","Tazewell County Public Schools","260 Advantage Road","276-988-2529","Tazewell","24651-1204","VA"
"Tazewell High","Jerry Smith","08-12","Tazewell County Public Schools","167 Cosby Blvd","276-988-6502","Tazewell","24651-1300","VA"
"Tazewell Intermediate","Mrs. Karrie Kinder","09-12","Tazewell County Public Schools","1253 West Riverside Drive","276-988-4510","North Tazewell","24630-9505","VA"
"Tazewell Middle","Chad Brown","06-08","Tazewell County Public Schools","367 Hope Street","276-988-6513","Tazewell","24651-9704","VA"
"Tazewell Primary","Melett Smith","09-12","Tazewell County Public Schools","175 Parkview Drive","276-988-4441","Tazewell","24651-1299","VA"
"Technical & Career Ed. Ctr.","Mr. David C. Swanger","09-12","Virginia Beach Public Schools","2925 N Landing Rd","757-648-5850","Virginia Beach","23456-2499","VA"
"Technical Education & Career Center","Ms. Margaret Chung","09-12","Arlington County Public Schools","816 S Walter Reed Dr","703-228-5800","Arlington","22204","VA"
"Temperance Elementary","Timothy Crawford","06-08","Amherst County Public Schools","1981 Lowesville Rd","434-946-2811","Amherst","24521","VA"
"Terra Centre Elementary","Rebecca Gidoni","09-12","Fairfax County Public Schools","6000 Burke Centre Pkwy","703-249-1400","Burke","22015","VA"
"Terraset Elementary","Lindsay Trout","06-08","Fairfax County Public Schools","11411 Ridge Heights Rd","703-390-5600","Reston","20191-1399","VA"
"Thalia Elementary","Dr. Crystal Lewis-Wilkerson","06-08","Virginia Beach Public Schools","421 Thalia Rd","757-648-3880","Virginia Beach","23452-1836","VA"
"The Academy of International Studies at Rosemont","Dorie Banks","09-12","Norfolk Public Schools","1330 Branch Rd.","757-852-4610","Norfolk","23513","VA"
"The Georgetown School","Mr. Brian Ford","09-12","Hanover County Public Schools","10000 Learning Lane","804-723-3460","Mechanicsville","23116","VA"
"The Hanover Center For Trades And Technology","Mr. Justin Roerink","09-12","Hanover County Public Schools","10002 Learning Lane","804-723-3440","Mechanicsville","23116","VA"
"The Nokesville School","Mr. Andrew Jacks","09-12","Prince William County Public Schools","12375 Aden Road","571-781-3040","Nokesville","20181","VA"
"The North Star School","Stacie Ahrens-Mininberg","03-05","Loudoun County Public Schools","407 E. Market St.","571-252-2060","Leesburg","20176","VA"
"The Renaissance Academy","James D Miller","07-08","Virginia Beach Public Schools","5100 Cleveland Street","757-648-6000","Virginia Beach","23462","VA"
"Thelma Crenshaw Elementary","Brian Campos","09-12","Chesterfield County Public Schools","11901 Bailey Bridge Rd.","804-739-6250","Midlothian","23112-3136","VA"
"Thirteen Acres Special Education Center","Mark Phillips","09-12","Richmond Public Schools","3801 Hermitage Rd.","804-780-6072","Richmond","23227","VA"
"Thomas C. Boushall Middle","Latonya Waller","09-12","Richmond Public Schools","3400 Hopkins Rd","804-780-5016","Richmond","23234-2404","VA"
"Thomas C. McSwain Elementary","Ms. Kimberly Crocker","09-12","Staunton Public Schools","1101 N Coalter St","540-332-3936","Staunton","24401-2505","VA"
