"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Richmond City Public Schools","Black","Huguenot High",85.2,85.6
"Richmond City Public Schools","Economically Disadvantaged","Huguenot High",81.9,81.9
"Richmond City Public Schools","English Learners","Huguenot High",46,46
"Richmond City Public Schools","Female","Huguenot High",73.7,74.2
"Richmond City Public Schools","Hispanic","Huguenot High",33.1,33.1
"Richmond City Public Schools","Homeless","Huguenot High",46.2,46.2
"Richmond City Public Schools","Male","Huguenot High",60.9,60.9
"Richmond City Public Schools","Students with Disabilities","Huguenot High",80,81.7
"Richmond City Public Schools","White","Huguenot High",87.9,87.9
"Richmond City Public Schools","All Students","John Marshall High",91.6,91.6
"Richmond City Public Schools","Black","John Marshall High",91.4,91.4
"Richmond City Public Schools","Economically Disadvantaged","John Marshall High",92,92
"Richmond City Public Schools","Female","John Marshall High",92.4,92.4
"Richmond City Public Schools","Male","John Marshall High",90.8,90.8
"Richmond City Public Schools","Students with Disabilities","John Marshall High",81,81
"Richmond City Public Schools","White","John Marshall High",92.3,92.3
"Richmond City Public Schools","All Students","Open High",100,100
"Richmond City Public Schools","Black","Open High",100,100
"Richmond City Public Schools","Economically Disadvantaged","Open High",100,100
"Richmond City Public Schools","Female","Open High",100,100
"Richmond City Public Schools","Male","Open High",100,100
"Richmond City Public Schools","White","Open High",100,100
"Richmond City Public Schools","All Students","Richmond Alternative",42.9,48.9
"Richmond City Public Schools","Black","Richmond Alternative",26.3,36.3
"Richmond City Public Schools","Economically Disadvantaged","Richmond Alternative",29.6,36.6
"Richmond City Public Schools","Female","Richmond Alternative",50.7,53.7
"Richmond City Public Schools","Male","Richmond Alternative",34.8,43.9
"Richmond City Public Schools","Students with Disabilities","Richmond Alternative",15,25
"Richmond City Public Schools","White","Richmond Alternative",69.2,69.2
"Richmond City Public Schools","All Students","Richmond Community High",100,100
"Richmond City Public Schools","Black","Richmond Community High",100,100
"Richmond City Public Schools","Economically Disadvantaged","Richmond Community High",100,100
"Richmond City Public Schools","Female","Richmond Community High",100,100
"Richmond City Public Schools","Male","Richmond Community High",100,100
"Richmond City Public Schools","White","Richmond Community High",100,100
"Richmond City Public Schools","All Students","Thomas Jefferson High",96.2,96.2
"Richmond City Public Schools","Black","Thomas Jefferson High",96.3,96.3
"Richmond City Public Schools","Economically Disadvantaged","Thomas Jefferson High",97.2,97.2
"Richmond City Public Schools","Female","Thomas Jefferson High",97.8,97.8
"Richmond City Public Schools","Male","Thomas Jefferson High",94,94
"Richmond City Public Schools","Students with Disabilities","Thomas Jefferson High",93.3,93.3
"Richmond City Public Schools","White","Thomas Jefferson High",97.3,97.3
"Richmond County Public Schools","All Students","Rappahannock High",100,100
"Richmond County Public Schools","Black","Rappahannock High",100,100
"Richmond County Public Schools","Economically Disadvantaged","Rappahannock High",100,100
"Richmond County Public Schools","Female","Rappahannock High",100,100
"Richmond County Public Schools","Male","Rappahannock High",100,100
"Richmond County Public Schools","Students with Disabilities","Rappahannock High",100,100
"Richmond County Public Schools","White","Rappahannock High",100,100
"Roanoke City Public Schools","All Students","Patrick Henry High",90.8,90.8
"Roanoke City Public Schools","Asian","Patrick Henry High",92.3,92.3
"Roanoke City Public Schools","Black","Patrick Henry High",90.7,90.7
"Roanoke City Public Schools","Economically Disadvantaged","Patrick Henry High",88.4,88.4
"Roanoke City Public Schools","English Learners","Patrick Henry High",87.9,87.9
"Roanoke City Public Schools","Female","Patrick Henry High",94.7,94.7
"Roanoke City Public Schools","Hispanic","Patrick Henry High",82.9,82.9
"Roanoke City Public Schools","Homeless","Patrick Henry High",93.3,93.3
"Roanoke City Public Schools","Male","Patrick Henry High",87.8,87.8
"Roanoke City Public Schools","Multiple Races","Patrick Henry High",90.5,90.5
"Roanoke City Public Schools","Students with Disabilities","Patrick Henry High",90.6,90.6
"Roanoke City Public Schools","White","Patrick Henry High",92,92
"Roanoke City Public Schools","All Students","William Fleming High",84.2,84.2
"Roanoke City Public Schools","Asian","William Fleming High",94.7,94.7
"Roanoke City Public Schools","Black","William Fleming High",89.1,89.1
"Roanoke City Public Schools","Economically Disadvantaged","William Fleming High",88.4,88.4
"Roanoke City Public Schools","English Learners","William Fleming High",66.2,66.2
"Roanoke City Public Schools","Female","William Fleming High",87.4,87.4
"Roanoke City Public Schools","Hispanic","William Fleming High",71.3,71.3
"Roanoke City Public Schools","Homeless","William Fleming High",60,60
"Roanoke City Public Schools","Male","William Fleming High",81.3,81.3
"Roanoke City Public Schools","Multiple Races","William Fleming High",77.3,77.3
"Roanoke City Public Schools","Students with Disabilities","William Fleming High",91.7,91.7
"Roanoke City Public Schools","White","William Fleming High",84.4,84.4
"Roanoke County Public Schools","All Students","Cave Spring High",97,97.3
"Roanoke County Public Schools","Asian","Cave Spring High",100,100
"Roanoke County Public Schools","Black","Cave Spring High",100,100
"Roanoke County Public Schools","Economically Disadvantaged","Cave Spring High",93.2,93.2
"Roanoke County Public Schools","English Learners","Cave Spring High",83.3,83.3
"Roanoke County Public Schools","Female","Cave Spring High",100,100
"Roanoke County Public Schools","Hispanic","Cave Spring High",83.3,83.3
"Roanoke County Public Schools","Male","Cave Spring High",94.3,95
"Roanoke County Public Schools","Multiple Races","Cave Spring High",93.8,100
"Roanoke County Public Schools","Students with Disabilities","Cave Spring High",90.5,90.5
"Roanoke County Public Schools","White","Cave Spring High",97.5,97.5
"Roanoke County Public Schools","All Students","Glenvar High",94,95.3
"Roanoke County Public Schools","Economically Disadvantaged","Glenvar High",85.4,89.6
"Roanoke County Public Schools","Female","Glenvar High",95.8,95.8
"Roanoke County Public Schools","Male","Glenvar High",92.4,94.9
"Roanoke County Public Schools","Students with Disabilities","Glenvar High",83.3,83.3
"Roanoke County Public Schools","White","Glenvar High",93.5,95
"Roanoke County Public Schools","All Students","Hidden Valley High",96.6,98.3
"Roanoke County Public Schools","Asian","Hidden Valley High",100,100
"Roanoke County Public Schools","Black","Hidden Valley High",100,100
"Roanoke County Public Schools","Economically Disadvantaged","Hidden Valley High",91.5,100
"Roanoke County Public Schools","Female","Hidden Valley High",97.4,98.2
"Roanoke County Public Schools","Male","Hidden Valley High",95.9,98.3
"Roanoke County Public Schools","Multiple Races","Hidden Valley High",93.3,93.3
"Roanoke County Public Schools","Students with Disabilities","Hidden Valley High",95.5,100
"Roanoke County Public Schools","White","Hidden Valley High",96.1,98.3
"Roanoke County Public Schools","All Students","Northside High",91.2,92.1
"Roanoke County Public Schools","Asian","Northside High",100,100
"Roanoke County Public Schools","Black","Northside High",88.9,88.9
"Roanoke County Public Schools","Economically Disadvantaged","Northside High",84.3,85.4
"Roanoke County Public Schools","Female","Northside High",94.1,94.1
"Roanoke County Public Schools","Hispanic","Northside High",70.6,70.6
"Roanoke County Public Schools","Male","Northside High",88.4,90.1
"Roanoke County Public Schools","Multiple Races","Northside High",100,100
"Roanoke County Public Schools","Students with Disabilities","Northside High",88.9,92.6
"Roanoke County Public Schools","White","Northside High",92.3,93.6
"Roanoke County Public Schools","All Students","William Byrd High",95.6,95.6
"Roanoke County Public Schools","Black","William Byrd High",73.3,73.3
"Roanoke County Public Schools","Economically Disadvantaged","William Byrd High",90.2,90.2
"Roanoke County Public Schools","Female","William Byrd High",97.5,97.5
"Roanoke County Public Schools","Male","William Byrd High",94,94
"Roanoke County Public Schools","Multiple Races","William Byrd High",100,100
"Roanoke County Public Schools","Students with Disabilities","William Byrd High",89.4,89.4
"Roanoke County Public Schools","White","William Byrd High",96.7,96.7
"Rockbridge County Public Schools","All Students","Rockbridge County High",89.9,90.8
"Rockbridge County Public Schools","Economically Disadvantaged","Rockbridge County High",86.5,87.8
"Rockbridge County Public Schools","Female","Rockbridge County High",93.8,93.8
"Rockbridge County Public Schools","Hispanic","Rockbridge County High",86.7,86.7
"Rockbridge County Public Schools","Male","Rockbridge County High",85.7,87.6
"Rockbridge County Public Schools","Multiple Races","Rockbridge County High",72.7,72.7
"Rockbridge County Public Schools","Students with Disabilities","Rockbridge County High",68.8,68.8
"Rockbridge County Public Schools","White","Rockbridge County High",90.8,91.9
"Rockingham County Public Schools","All Students","Broadway High",94.9,97.1
"Rockingham County Public Schools","Economically Disadvantaged","Broadway High",87.9,94.5
"Rockingham County Public Schools","English Learners","Broadway High",92.3,92.3
"Rockingham County Public Schools","Female","Broadway High",94.7,94.7
"Rockingham County Public Schools","Hispanic","Broadway High",93.1,93.1
"Rockingham County Public Schools","Male","Broadway High",95,98.7
"Rockingham County Public Schools","Students with Disabilities","Broadway High",87.1,90.3
"Rockingham County Public Schools","White","Broadway High",95.2,97.4
"Rockingham County Public Schools","All Students","East Rockingham High",95.7,97.1
"Rockingham County Public Schools","Economically Disadvantaged","East Rockingham High",88.4,92.8
"Rockingham County Public Schools","Female","East Rockingham High",97.3,97.3
"Rockingham County Public Schools","Hispanic","East Rockingham High",80,80
"Rockingham County Public Schools","Male","East Rockingham High",93.8,96.9
"Rockingham County Public Schools","Multiple Races","East Rockingham High",92.9,92.9
"Rockingham County Public Schools","Students with Disabilities","East Rockingham High",100,100
"Rockingham County Public Schools","White","East Rockingham High",97.1,98.8
"Rockingham County Public Schools","All Students","Spotswood High",95.8,96.2
"Rockingham County Public Schools","Black","Spotswood High",90,90
"Rockingham County Public Schools","Economically Disadvantaged","Spotswood High",92.9,93.9
"Rockingham County Public Schools","English Learners","Spotswood High",70,70
"Rockingham County Public Schools","Female","Spotswood High",94.1,94.1
"Rockingham County Public Schools","Hispanic","Spotswood High",87.5,87.5
"Rockingham County Public Schools","Male","Spotswood High",97.3,97.9
"Rockingham County Public Schools","Students with Disabilities","Spotswood High",100,100
"Rockingham County Public Schools","White","Spotswood High",98.9,99.4
"Rockingham County Public Schools","All Students","Turner Ashby High",91.6,92.3
"Rockingham County Public Schools","Economically Disadvantaged","Turner Ashby High",88.8,88.8
"Rockingham County Public Schools","English Learners","Turner Ashby High",76.2,76.2
"Rockingham County Public Schools","Female","Turner Ashby High",94.7,94.7
"Rockingham County Public Schools","Hispanic","Turner Ashby High",89.2,89.2
"Rockingham County Public Schools","Male","Turner Ashby High",88.5,90
"Rockingham County Public Schools","Students with Disabilities","Turner Ashby High",100,100
"Rockingham County Public Schools","White","Turner Ashby High",92,92.9
"Russell County Public Schools","All Students","Castlewood High",93,93
"Russell County Public Schools","Economically Disadvantaged","Castlewood High",90.4,90.4
"Russell County Public Schools","Female","Castlewood High",94.9,94.9
"Russell County Public Schools","Male","Castlewood High",90.6,90.6
"Russell County Public Schools","Students with Disabilities","Castlewood High",81.8,81.8
"Russell County Public Schools","White","Castlewood High",93,93
"Russell County Public Schools","All Students","Honaker High",94.1,94.1
"Russell County Public Schools","Economically Disadvantaged","Honaker High",91.4,91.4
"Russell County Public Schools","Female","Honaker High",97.1,97.1
"Russell County Public Schools","Male","Honaker High",92.4,92.4
"Russell County Public Schools","Students with Disabilities","Honaker High",87.5,87.5
"Russell County Public Schools","White","Honaker High",95,95
"Russell County Public Schools","All Students","Lebanon High",93.2,94
"Russell County Public Schools","Economically Disadvantaged","Lebanon High",92.3,92.3
"Russell County Public Schools","Female","Lebanon High",94.1,94.1
"Russell County Public Schools","Male","Lebanon High",92.3,93.8
"Russell County Public Schools","Students with Disabilities","Lebanon High",80,80
"Russell County Public Schools","White","Lebanon High",93.1,93.9
"Salem City Public Schools","All Students","Salem High",94.1,95.1
"Salem City Public Schools","Asian","Salem High",100,100
"Salem City Public Schools","Black","Salem High",84.8,87.9
"Salem City Public Schools","Economically Disadvantaged","Salem High",85.6,88.5
"Salem City Public Schools","English Learners","Salem High",91.7,91.7
"Salem City Public Schools","Female","Salem High",96.5,97.2
"Salem City Public Schools","Hispanic","Salem High",86.7,86.7
"Salem City Public Schools","Male","Salem High",92,93.2
"Salem City Public Schools","Students with Disabilities","Salem High",100,100
"Salem City Public Schools","White","Salem High",95.8,96.7
"Scott County Public Schools","All Students","Gate City High",96.6,96.6
"Scott County Public Schools","Economically Disadvantaged","Gate City High",95.1,95.1
"Scott County Public Schools","Female","Gate City High",97.3,97.3
"Scott County Public Schools","Male","Gate City High",96,96
"Scott County Public Schools","Students with Disabilities","Gate City High",92,92
"Scott County Public Schools","White","Gate City High",97.1,97.1
"Scott County Public Schools","All Students","Rye Cove High",98,98
"Scott County Public Schools","Economically Disadvantaged","Rye Cove High",96.2,96.2
"Scott County Public Schools","Female","Rye Cove High",94.4,94.4
"Scott County Public Schools","Male","Rye Cove High",100,100
"Scott County Public Schools","Students with Disabilities","Rye Cove High",100,100
"Scott County Public Schools","White","Rye Cove High",97.9,97.9
"Scott County Public Schools","All Students","Twin Springs High",95.7,97.9
"Scott County Public Schools","Economically Disadvantaged","Twin Springs High",96.2,100
"Scott County Public Schools","Female","Twin Springs High",100,100
"Scott County Public Schools","Male","Twin Springs High",92.9,96.4
"Scott County Public Schools","White","Twin Springs High",97.7,97.7
"Shenandoah County Public Schools","All Students","Central High",96.8,97.2
"Shenandoah County Public Schools","Economically Disadvantaged","Central High",95.7,96.8
"Shenandoah County Public Schools","Female","Central High",97.3,97.3
"Shenandoah County Public Schools","Hispanic","Central High",93.3,93.3
"Shenandoah County Public Schools","Male","Central High",96.2,97.2
"Shenandoah County Public Schools","Students with Disabilities","Central High",93.9,93.9
"Shenandoah County Public Schools","White","Central High",98.2,98.2
"Shenandoah County Public Schools","All Students","Mountain View High",100,100
"Shenandoah County Public Schools","Economically Disadvantaged","Mountain View High",100,100
"Shenandoah County Public Schools","English Learners","Mountain View High",100,100
"Shenandoah County Public Schools","Female","Mountain View High",100,100
"Shenandoah County Public Schools","Hispanic","Mountain View High",100,100
"Shenandoah County Public Schools","Male","Mountain View High",100,100
"Shenandoah County Public Schools","Students with Disabilities","Mountain View High",100,100
"Shenandoah County Public Schools","White","Mountain View High",100,100
"Shenandoah County Public Schools","All Students","Strasburg High",97.5,98.1
"Shenandoah County Public Schools","Economically Disadvantaged","Strasburg High",95.3,97.7
"Shenandoah County Public Schools","Female","Strasburg High",100,100
"Shenandoah County Public Schools","Hispanic","Strasburg High",100,100
"Shenandoah County Public Schools","Male","Strasburg High",95.1,96.3
"Shenandoah County Public Schools","Students with Disabilities","Strasburg High",94.1,94.1
"Shenandoah County Public Schools","White","Strasburg High",97,97.8
"Smyth County Public Schools","All Students","Chilhowie High",96.9,96.9
"Smyth County Public Schools","Economically Disadvantaged","Chilhowie High",95.8,95.8
"Smyth County Public Schools","Female","Chilhowie High",93.3,93.3
"Smyth County Public Schools","Male","Chilhowie High",100,100
"Smyth County Public Schools","White","Chilhowie High",96.7,96.7
"Smyth County Public Schools","All Students","Marion Senior High",93.6,94.3
"Smyth County Public Schools","Economically Disadvantaged","Marion Senior High",90.7,92
"Smyth County Public Schools","Female","Marion Senior High",92.5,92.5
"Smyth County Public Schools","Male","Marion Senior High",94.5,95.9
"Smyth County Public Schools","Students with Disabilities","Marion Senior High",96.3,96.3
"Smyth County Public Schools","White","Marion Senior High",93.8,94.5
"Smyth County Public Schools","All Students","Northwood High",100,100
"Smyth County Public Schools","Economically Disadvantaged","Northwood High",100,100
"Smyth County Public Schools","Female","Northwood High",100,100
"Smyth County Public Schools","Male","Northwood High",100,100
"Smyth County Public Schools","White","Northwood High",100,100
"Southampton County Public Schools","All Students","Southampton High",93.4,94.4
"Southampton County Public Schools","Black","Southampton High",92.1,92.1
"Southampton County Public Schools","Economically Disadvantaged","Southampton High",92,93.1
"Southampton County Public Schools","Female","Southampton High",93.5,93.5
"Southampton County Public Schools","Male","Southampton High",93.3,95.2
"Southampton County Public Schools","Students with Disabilities","Southampton High",91.7,91.7
"Southampton County Public Schools","White","Southampton High",94.4,96.3
"Spotsylvania County Public Schools","All Students","Chancellor High",87.2,87.8
"Spotsylvania County Public Schools","Asian","Chancellor High",100,100
"Spotsylvania County Public Schools","Black","Chancellor High",89.7,89.7
"Spotsylvania County Public Schools","Economically Disadvantaged","Chancellor High",80.3,81.5
"Spotsylvania County Public Schools","English Learners","Chancellor High",60.7,60.7
"Spotsylvania County Public Schools","Female","Chancellor High",89.1,89.7
"Spotsylvania County Public Schools","Hispanic","Chancellor High",74,74
"Spotsylvania County Public Schools","Male","Chancellor High",84.8,85.5
"Spotsylvania County Public Schools","Multiple Races","Chancellor High",100,100
"Spotsylvania County Public Schools","Students with Disabilities","Chancellor High",91.2,91.2
"Spotsylvania County Public Schools","White","Chancellor High",90.8,92.4
"Spotsylvania County Public Schools","All Students","Courtland High",92,93.5
"Spotsylvania County Public Schools","Asian","Courtland High",100,100
"Spotsylvania County Public Schools","Black","Courtland High",88.9,90.3
"Spotsylvania County Public Schools","Economically Disadvantaged","Courtland High",86.3,86.3
"Spotsylvania County Public Schools","English Learners","Courtland High",55.6,55.6
"Spotsylvania County Public Schools","Female","Courtland High",94.6,95.3
"Spotsylvania County Public Schools","Hispanic","Courtland High",82.4,85.3
"Spotsylvania County Public Schools","Male","Courtland High",89.8,92.1
"Spotsylvania County Public Schools","Military Connected","Courtland High",90.9,90.9
"Spotsylvania County Public Schools","Multiple Races","Courtland High",100,100
"Spotsylvania County Public Schools","Students with Disabilities","Courtland High",88.6,88.6
"Spotsylvania County Public Schools","White","Courtland High",96.2,97.5
"Spotsylvania County Public Schools","All Students","Massaponax High",86.8,87.7
"Spotsylvania County Public Schools","Asian","Massaponax High",87.5,87.5
"Spotsylvania County Public Schools","Black","Massaponax High",90.6,91.4
"Spotsylvania County Public Schools","Economically Disadvantaged","Massaponax High",78.1,79.2
"Spotsylvania County Public Schools","English Learners","Massaponax High",40,42.9
"Spotsylvania County Public Schools","Female","Massaponax High",91.4,92.2
"Spotsylvania County Public Schools","Hispanic","Massaponax High",72.4,73.6
"Spotsylvania County Public Schools","Male","Massaponax High",81.9,82.9
"Spotsylvania County Public Schools","Military Connected","Massaponax High",94.1,94.1
"Spotsylvania County Public Schools","Multiple Races","Massaponax High",84,88
"Spotsylvania County Public Schools","Students with Disabilities","Massaponax High",80.8,82.7
"Spotsylvania County Public Schools","White","Massaponax High",91.1,91.6
"Spotsylvania County Public Schools","All Students","Riverbend High ",96.4,97.9
"Spotsylvania County Public Schools","Asian","Riverbend High ",100,100
"Spotsylvania County Public Schools","Black","Riverbend High ",94.5,94.5
"Spotsylvania County Public Schools","Economically Disadvantaged","Riverbend High ",92.4,96.6
"Spotsylvania County Public Schools","English Learners","Riverbend High ",94.1,94.1
"Spotsylvania County Public Schools","Female","Riverbend High ",98.6,99.5
"Spotsylvania County Public Schools","Hispanic","Riverbend High ",96.3,96.3
"Spotsylvania County Public Schools","Male","Riverbend High ",94.4,96.4
"Spotsylvania County Public Schools","Military Connected","Riverbend High ",100,100
"Spotsylvania County Public Schools","Multiple Races","Riverbend High ",100,100
"Spotsylvania County Public Schools","Students with Disabilities","Riverbend High ",90.9,94.5
"Spotsylvania County Public Schools","White","Riverbend High ",96.2,98.4
"Spotsylvania County Public Schools","All Students","Spotsylvania High",91.9,94.2
"Spotsylvania County Public Schools","Black","Spotsylvania High",92,96
"Spotsylvania County Public Schools","Economically Disadvantaged","Spotsylvania High",88.3,90.6
"Spotsylvania County Public Schools","Female","Spotsylvania High",95,97.8
"Spotsylvania County Public Schools","Hispanic","Spotsylvania High",90,95
"Spotsylvania County Public Schools","Male","Spotsylvania High",89.4,91.2
"Spotsylvania County Public Schools","Multiple Races","Spotsylvania High",90.9,90.9
"Spotsylvania County Public Schools","Students with Disabilities","Spotsylvania High",90,90
"Spotsylvania County Public Schools","White","Spotsylvania High",92,94
"Stafford County Public Schools","All Students","Brooke Point High",94.1,94.7
"Stafford County Public Schools","Asian","Brooke Point High",100,100
"Stafford County Public Schools","Black","Brooke Point High",92.9,92.9
"Stafford County Public Schools","Economically Disadvantaged","Brooke Point High",93.1,93.8
"Stafford County Public Schools","English Learners","Brooke Point High",65.5,69
"Stafford County Public Schools","Female","Brooke Point High",97.2,97.2
"Stafford County Public Schools","Hispanic","Brooke Point High",88.7,89.6
"Stafford County Public Schools","Male","Brooke Point High",91.1,92.4
"Stafford County Public Schools","Multiple Races","Brooke Point High",100,100
"Stafford County Public Schools","Students with Disabilities","Brooke Point High",94.6,94.6
"Stafford County Public Schools","White","Brooke Point High",96.6,97.7
"Stafford County Public Schools","All Students","Colonial Forge High",96.2,97.6
"Stafford County Public Schools","Asian","Colonial Forge High",100,100
"Stafford County Public Schools","Black","Colonial Forge High",93.5,94.2
"Stafford County Public Schools","Economically Disadvantaged","Colonial Forge High",89.9,92.4
"Stafford County Public Schools","English Learners","Colonial Forge High",100,100
"Stafford County Public Schools","Female","Colonial Forge High",98.2,98.9
"Stafford County Public Schools","Hispanic","Colonial Forge High",98.9,100
"Stafford County Public Schools","Male","Colonial Forge High",94,96.3
"Stafford County Public Schools","Military Connected","Colonial Forge High",97.7,97.7
"Stafford County Public Schools","Multiple Races","Colonial Forge High",92.9,97.6
"Stafford County Public Schools","Students with Disabilities","Colonial Forge High",94.6,96.4
"Stafford County Public Schools","White","Colonial Forge High",97.4,99.1
"Stafford County Public Schools","All Students","Mountain View High ",96.9,97.7
"Stafford County Public Schools","Asian","Mountain View High ",92.3,100
"Stafford County Public Schools","Black","Mountain View High ",98.1,98.1
"Stafford County Public Schools","Economically Disadvantaged","Mountain View High ",92.3,93.4
"Stafford County Public Schools","English Learners","Mountain View High ",94.1,94.1
"Stafford County Public Schools","Female","Mountain View High ",97.9,98.7
"Stafford County Public Schools","Hispanic","Mountain View High ",96.1,97.4
"Stafford County Public Schools","Male","Mountain View High ",96,96.8
"Stafford County Public Schools","Military Connected","Mountain View High ",100,100
"Stafford County Public Schools","Multiple Races","Mountain View High ",100,100
"Stafford County Public Schools","Students with Disabilities","Mountain View High ",94.4,94.4
"Stafford County Public Schools","White","Mountain View High ",96.8,97.4
"Stafford County Public Schools","All Students","North Stafford High",93.5,94.2
"Stafford County Public Schools","Asian","North Stafford High",100,100
"Stafford County Public Schools","Black","North Stafford High",92.9,92.9
"Stafford County Public Schools","Economically Disadvantaged","North Stafford High",92.9,94
"Stafford County Public Schools","English Learners","North Stafford High",76.2,76.2
"Stafford County Public Schools","Female","North Stafford High",95.5,95.9
"Stafford County Public Schools","Hispanic","North Stafford High",88.2,88.2
"Stafford County Public Schools","Male","North Stafford High",91.3,92.3
"Stafford County Public Schools","Multiple Races","North Stafford High",97.7,100
"Stafford County Public Schools","Students with Disabilities","North Stafford High",95.7,97.8
"Stafford County Public Schools","White","North Stafford High",96.4,97.8
"Stafford County Public Schools","All Students","Stafford Senior High",93.5,94.8
"Stafford County Public Schools","Asian","Stafford Senior High",94.7,94.7
"Stafford County Public Schools","Black","Stafford Senior High",97.5,97.5
"Stafford County Public Schools","Economically Disadvantaged","Stafford Senior High",93.5,93.5
"Stafford County Public Schools","English Learners","Stafford Senior High",85.7,85.7
"Stafford County Public Schools","Female","Stafford Senior High",95.4,96.2
"Stafford County Public Schools","Hispanic","Stafford Senior High",91.7,91.7
"Stafford County Public Schools","Homeless","Stafford Senior High",50,50
"Stafford County Public Schools","Male","Stafford Senior High",91.6,93.3
"Stafford County Public Schools","Military Connected","Stafford Senior High",100,100
"Stafford County Public Schools","Multiple Races","Stafford Senior High",94.4,94.4
"Stafford County Public Schools","Students with Disabilities","Stafford Senior High",94,94
"Stafford County Public Schools","White","Stafford Senior High",92.8,94.6
"Staunton City Public Schools","All Students","Staunton High",91.8,93.3
"Staunton City Public Schools","Black","Staunton High",94.3,94.3
"Staunton City Public Schools","Economically Disadvantaged","Staunton High",88.2,90.6
"Staunton City Public Schools","Female","Staunton High",92.3,93.3
"Staunton City Public Schools","Hispanic","Staunton High",100,100
"Staunton City Public Schools","Male","Staunton High",91.3,93.3
"Staunton City Public Schools","Multiple Races","Staunton High",81.8,86.4
"Staunton City Public Schools","Students with Disabilities","Staunton High",80,85
"Staunton City Public Schools","White","Staunton High",91.7,93.2
"Suffolk City Public Schools","All Students","King's Fork High",84.7,86.1
"Suffolk City Public Schools","Black","King's Fork High",81,81.5
"Suffolk City Public Schools","Economically Disadvantaged","King's Fork High",76,78.9
"Suffolk City Public Schools","Female","King's Fork High",90.3,90.9
"Suffolk City Public Schools","Hispanic","King's Fork High",82.4,82.4
"Suffolk City Public Schools","Male","King's Fork High",79.5,81.6
"Suffolk City Public Schools","Military Connected","King's Fork High",90.9,90.9
"Suffolk City Public Schools","Multiple Races","King's Fork High",93.3,100
"Suffolk City Public Schools","Students with Disabilities","King's Fork High",75,75
"Suffolk City Public Schools","White","King's Fork High",92,95.5
"Suffolk City Public Schools","All Students","Lakeland High",81.4,84.8
"Suffolk City Public Schools","Black","Lakeland High",80.2,84.2
"Suffolk City Public Schools","Economically Disadvantaged","Lakeland High",75.4,79.7
"Suffolk City Public Schools","Female","Lakeland High",86.7,89.6
"Suffolk City Public Schools","Male","Lakeland High",76.1,79.9
"Suffolk City Public Schools","Students with Disabilities","Lakeland High",77.3,79.5
"Suffolk City Public Schools","White","Lakeland High",82.1,84.6
"Suffolk City Public Schools","All Students","Nansemond River High",94.5,95.4
"Suffolk City Public Schools","Black","Nansemond River High",95.2,95.2
"Suffolk City Public Schools","Economically Disadvantaged","Nansemond River High",92.5,92.5
"Suffolk City Public Schools","Female","Nansemond River High",96.6,97.2
"Suffolk City Public Schools","Hispanic","Nansemond River High",86.2,93.1
"Suffolk City Public Schools","Male","Nansemond River High",92.6,93.7
"Suffolk City Public Schools","Military Connected","Nansemond River High",100,100
"Suffolk City Public Schools","Multiple Races","Nansemond River High",100,100
"Suffolk City Public Schools","Students with Disabilities","Nansemond River High",87.5,90
"Suffolk City Public Schools","White","Nansemond River High",94.5,95.3
"Surry County Public Schools","All Students","Surry County High",94.9,94.9
"Surry County Public Schools","Black","Surry County High",97.7,97.7
"Surry County Public Schools","Economically Disadvantaged","Surry County High",93.5,93.5
"Surry County Public Schools","Female","Surry County High",93.1,93.1
"Surry County Public Schools","Male","Surry County High",96.7,96.7
"Surry County Public Schools","White","Surry County High",92.9,92.9
"Sussex County Public Schools","All Students","Sussex Central High",87.4,88.5
"Sussex County Public Schools","Black","Sussex Central High",88.4,88.4
"Sussex County Public Schools","Economically Disadvantaged","Sussex Central High",85.7,85.7
"Sussex County Public Schools","Female","Sussex Central High",86.5,86.5
"Sussex County Public Schools","Male","Sussex Central High",88,90
"Sussex County Public Schools","Students with Disabilities","Sussex Central High",78.9,78.9
"Sussex County Public Schools","White","Sussex Central High",83.3,88.9
"Tazewell County Public Schools","All Students","Graham High",94.2,95.7
"Tazewell County Public Schools","Economically Disadvantaged","Graham High",87.7,91.2
"Tazewell County Public Schools","Female","Graham High",96.9,98.5
"Tazewell County Public Schools","Male","Graham High",91.8,93.2
"Tazewell County Public Schools","Students with Disabilities","Graham High",78.9,89.5
"Tazewell County Public Schools","White","Graham High",95.2,96
"Tazewell County Public Schools","All Students","Richlands High",94.1,94.1
"Tazewell County Public Schools","Economically Disadvantaged","Richlands High",90.4,90.4
"Tazewell County Public Schools","Female","Richlands High",96.6,96.6
"Tazewell County Public Schools","Male","Richlands High",91.8,91.8
"Tazewell County Public Schools","Students with Disabilities","Richlands High",87.5,87.5
"Tazewell County Public Schools","White","Richlands High",94.5,94.5
"Tazewell County Public Schools","All Students","Tazewell High",94.2,97.1
"Tazewell County Public Schools","Economically Disadvantaged","Tazewell High",89.5,94.7
"Tazewell County Public Schools","Female","Tazewell High",98.5,100
"Tazewell County Public Schools","Male","Tazewell High",90.3,94.4
"Tazewell County Public Schools","Students with Disabilities","Tazewell High",93.1,93.1
"Tazewell County Public Schools","White","Tazewell High",93.9,97
"Virginia Beach City Public Schools","All Students","Bayside High",89,92.1
"Virginia Beach City Public Schools","Asian","Bayside High",93.9,100
"Virginia Beach City Public Schools","Black","Bayside High",85.6,88.1
