"Division","School","Subgroup","Percent.Below.10","Percent.above.10"
"Shenandoah County Public Schools","W.W. Robinson Elementary","English Learners",90.5,9.5
"Shenandoah County Public Schools","W.W. Robinson Elementary","Female",88.6,11.4
"Shenandoah County Public Schools","W.W. Robinson Elementary","Hispanic",87.8,12.2
"Shenandoah County Public Schools","W.W. Robinson Elementary","Homeless",NA,NA
"Shenandoah County Public Schools","W.W. Robinson Elementary","Male",87.7,12.3
"Shenandoah County Public Schools","W.W. Robinson Elementary","Multiple Races",76.7,23.3
"Shenandoah County Public Schools","W.W. Robinson Elementary","Students with Disabilities",78,22
"Shenandoah County Public Schools","W.W. Robinson Elementary","White",89,11
"Smyth County Public Schools","Atkins Elementary","All Students",79.2,20.8
"Smyth County Public Schools","Atkins Elementary","Economically Disadvantaged",76.1,23.9
"Smyth County Public Schools","Atkins Elementary","English Learners",100,0
"Smyth County Public Schools","Atkins Elementary","Female",79.5,20.5
"Smyth County Public Schools","Atkins Elementary","Hispanic",100,0
"Smyth County Public Schools","Atkins Elementary","Homeless",NA,NA
"Smyth County Public Schools","Atkins Elementary","Male",78.9,21.1
"Smyth County Public Schools","Atkins Elementary","Multiple Races",100,0
"Smyth County Public Schools","Atkins Elementary","Students with Disabilities",70.8,29.2
"Smyth County Public Schools","Atkins Elementary","White",77.8,22.2
"Smyth County Public Schools","Chilhowie Elementary","All Students",89.7,10.3
"Smyth County Public Schools","Chilhowie Elementary","Asian",100,0
"Smyth County Public Schools","Chilhowie Elementary","Black",87.5,12.5
"Smyth County Public Schools","Chilhowie Elementary","Economically Disadvantaged",86.5,13.5
"Smyth County Public Schools","Chilhowie Elementary","English Learners",100,0
"Smyth County Public Schools","Chilhowie Elementary","Female",87.4,12.6
"Smyth County Public Schools","Chilhowie Elementary","Hispanic",100,0
"Smyth County Public Schools","Chilhowie Elementary","Male",91.7,8.3
"Smyth County Public Schools","Chilhowie Elementary","Multiple Races",100,0
"Smyth County Public Schools","Chilhowie Elementary","Students with Disabilities",90.5,9.5
"Smyth County Public Schools","Chilhowie Elementary","White",89.4,10.6
"Smyth County Public Schools","Chilhowie High","All Students",84.9,15.1
"Smyth County Public Schools","Chilhowie High","American Indian",NA,NA
"Smyth County Public Schools","Chilhowie High","Asian",100,0
"Smyth County Public Schools","Chilhowie High","Black",100,0
"Smyth County Public Schools","Chilhowie High","Economically Disadvantaged",76.9,23.1
"Smyth County Public Schools","Chilhowie High","English Learners",100,0
"Smyth County Public Schools","Chilhowie High","Female",86.6,13.4
"Smyth County Public Schools","Chilhowie High","Hispanic",83.3,16.7
"Smyth County Public Schools","Chilhowie High","Male",83.2,16.8
"Smyth County Public Schools","Chilhowie High","Students with Disabilities",65,35
"Smyth County Public Schools","Chilhowie High","White",84.7,15.3
"Smyth County Public Schools","Chilhowie Middle","All Students",87.5,12.5
"Smyth County Public Schools","Chilhowie Middle","American Indian",NA,NA
"Smyth County Public Schools","Chilhowie Middle","Asian",100,0
"Smyth County Public Schools","Chilhowie Middle","Black",100,0
"Smyth County Public Schools","Chilhowie Middle","Economically Disadvantaged",78.3,21.7
"Smyth County Public Schools","Chilhowie Middle","English Learners",100,0
"Smyth County Public Schools","Chilhowie Middle","Female",89.2,10.8
"Smyth County Public Schools","Chilhowie Middle","Hispanic",92.3,7.7
"Smyth County Public Schools","Chilhowie Middle","Male",86,14
"Smyth County Public Schools","Chilhowie Middle","Multiple Races",100,0
"Smyth County Public Schools","Chilhowie Middle","Students with Disabilities",83.8,16.2
"Smyth County Public Schools","Chilhowie Middle","White",87,13
"Smyth County Public Schools","Marion Elementary","All Students",89.8,10.2
"Smyth County Public Schools","Marion Elementary","Asian",80,20
"Smyth County Public Schools","Marion Elementary","Black",93.3,6.7
"Smyth County Public Schools","Marion Elementary","Economically Disadvantaged",87.9,12.1
"Smyth County Public Schools","Marion Elementary","English Learners",80,20
"Smyth County Public Schools","Marion Elementary","Female",93.6,6.4
"Smyth County Public Schools","Marion Elementary","Hispanic",88.9,11.1
"Smyth County Public Schools","Marion Elementary","Male",85.7,14.3
"Smyth County Public Schools","Marion Elementary","Students with Disabilities",84.8,15.2
"Smyth County Public Schools","Marion Elementary","White",89.8,10.2
"Smyth County Public Schools","Marion Middle","All Students",75.7,24.3
"Smyth County Public Schools","Marion Middle","American Indian",NA,NA
"Smyth County Public Schools","Marion Middle","Asian",33.3,66.7
"Smyth County Public Schools","Marion Middle","Black",64.3,35.7
"Smyth County Public Schools","Marion Middle","Economically Disadvantaged",69.7,30.3
"Smyth County Public Schools","Marion Middle","English Learners",100,0
"Smyth County Public Schools","Marion Middle","Female",72.3,27.7
"Smyth County Public Schools","Marion Middle","Hispanic",85.7,14.3
"Smyth County Public Schools","Marion Middle","Homeless",NA,NA
"Smyth County Public Schools","Marion Middle","Male",78.6,21.4
"Smyth County Public Schools","Marion Middle","Multiple Races",71.4,28.6
"Smyth County Public Schools","Marion Middle","Students with Disabilities",61.8,38.2
"Smyth County Public Schools","Marion Middle","White",76.1,23.9
"Smyth County Public Schools","Marion Senior High","All Students",76.1,23.9
"Smyth County Public Schools","Marion Senior High","American Indian",NA,NA
"Smyth County Public Schools","Marion Senior High","Asian",100,0
"Smyth County Public Schools","Marion Senior High","Black",55.6,44.4
"Smyth County Public Schools","Marion Senior High","Economically Disadvantaged",64.5,35.5
"Smyth County Public Schools","Marion Senior High","English Learners",100,0
"Smyth County Public Schools","Marion Senior High","Female",77,23
"Smyth County Public Schools","Marion Senior High","Hispanic",88.2,11.8
"Smyth County Public Schools","Marion Senior High","Homeless",NA,NA
"Smyth County Public Schools","Marion Senior High","Male",75.2,24.8
"Smyth County Public Schools","Marion Senior High","Multiple Races",100,0
"Smyth County Public Schools","Marion Senior High","Students with Disabilities",66.7,33.3
"Smyth County Public Schools","Marion Senior High","White",76.3,23.7
"Smyth County Public Schools","Northwood High","All Students",88.5,11.5
"Smyth County Public Schools","Northwood High","Asian",100,0
"Smyth County Public Schools","Northwood High","Black",100,0
"Smyth County Public Schools","Northwood High","Economically Disadvantaged",82.7,17.3
"Smyth County Public Schools","Northwood High","English Learners",100,0
"Smyth County Public Schools","Northwood High","Female",87.9,12.1
"Smyth County Public Schools","Northwood High","Hispanic",66.7,33.3
"Smyth County Public Schools","Northwood High","Male",89,11
"Smyth County Public Schools","Northwood High","Students with Disabilities",84.6,15.4
"Smyth County Public Schools","Northwood High","White",88.5,11.5
"Smyth County Public Schools","Northwood Middle","All Students",89.5,10.5
"Smyth County Public Schools","Northwood Middle","Asian",100,0
"Smyth County Public Schools","Northwood Middle","Black",100,0
"Smyth County Public Schools","Northwood Middle","Economically Disadvantaged",88.8,11.2
"Smyth County Public Schools","Northwood Middle","English Learners",100,0
"Smyth County Public Schools","Northwood Middle","Female",88.4,11.6
"Smyth County Public Schools","Northwood Middle","Hispanic",100,0
"Smyth County Public Schools","Northwood Middle","Male",90.5,9.5
"Smyth County Public Schools","Northwood Middle","Multiple Races",100,0
"Smyth County Public Schools","Northwood Middle","Students with Disabilities",90.9,9.1
"Smyth County Public Schools","Northwood Middle","White",89,11
"Smyth County Public Schools","Oak Point Elementary","All Students",83.5,16.5
"Smyth County Public Schools","Oak Point Elementary","Black",100,0
"Smyth County Public Schools","Oak Point Elementary","Economically Disadvantaged",77.7,22.3
"Smyth County Public Schools","Oak Point Elementary","English Learners",100,0
"Smyth County Public Schools","Oak Point Elementary","Female",84,16
"Smyth County Public Schools","Oak Point Elementary","Hispanic",75,25
"Smyth County Public Schools","Oak Point Elementary","Homeless",NA,NA
"Smyth County Public Schools","Oak Point Elementary","Male",83,17
"Smyth County Public Schools","Oak Point Elementary","Multiple Races",77.8,22.2
"Smyth County Public Schools","Oak Point Elementary","Native Hawaiian",NA,NA
"Smyth County Public Schools","Oak Point Elementary","Students with Disabilities",77,23
"Smyth County Public Schools","Oak Point Elementary","White",83.7,16.3
"Smyth County Public Schools","Rich Valley Elementary","All Students",95,5
"Smyth County Public Schools","Rich Valley Elementary","Economically Disadvantaged",93.3,6.7
"Smyth County Public Schools","Rich Valley Elementary","English Learners",100,0
"Smyth County Public Schools","Rich Valley Elementary","Female",92.4,7.6
"Smyth County Public Schools","Rich Valley Elementary","Hispanic",100,0
"Smyth County Public Schools","Rich Valley Elementary","Male",97.3,2.7
"Smyth County Public Schools","Rich Valley Elementary","Students with Disabilities",100,0
"Smyth County Public Schools","Rich Valley Elementary","White",94.7,5.3
"Smyth County Public Schools","Saltville Elementary","All Students",85.5,14.5
"Smyth County Public Schools","Saltville Elementary","Economically Disadvantaged",84.8,15.2
"Smyth County Public Schools","Saltville Elementary","Female",84,16
"Smyth County Public Schools","Saltville Elementary","Hispanic",100,0
"Smyth County Public Schools","Saltville Elementary","Male",87.1,12.9
"Smyth County Public Schools","Saltville Elementary","Multiple Races",100,0
"Smyth County Public Schools","Saltville Elementary","Students with Disabilities",80,20
"Smyth County Public Schools","Saltville Elementary","White",85,15
"Smyth County Public Schools","Sugar Grove Elementary","All Students",89.8,10.2
"Smyth County Public Schools","Sugar Grove Elementary","Black",100,0
"Smyth County Public Schools","Sugar Grove Elementary","Economically Disadvantaged",86.4,13.6
"Smyth County Public Schools","Sugar Grove Elementary","Female",94.5,5.5
"Smyth County Public Schools","Sugar Grove Elementary","Hispanic",100,0
"Smyth County Public Schools","Sugar Grove Elementary","Male",83.7,16.3
"Smyth County Public Schools","Sugar Grove Elementary","Multiple Races",100,0
"Smyth County Public Schools","Sugar Grove Elementary","Students with Disabilities",84.2,15.8
"Smyth County Public Schools","Sugar Grove Elementary","White",89.5,10.5
"Southampton County Public Schools","Capron Elementary","All Students",87,13
"Southampton County Public Schools","Capron Elementary","Black",89.6,10.4
"Southampton County Public Schools","Capron Elementary","Economically Disadvantaged",84.2,15.8
"Southampton County Public Schools","Capron Elementary","Female",90,10
"Southampton County Public Schools","Capron Elementary","Hispanic",50,50
"Southampton County Public Schools","Capron Elementary","Male",84.2,15.8
"Southampton County Public Schools","Capron Elementary","Multiple Races",78.6,21.4
"Southampton County Public Schools","Capron Elementary","Native Hawaiian",NA,NA
"Southampton County Public Schools","Capron Elementary","Students with Disabilities",90.3,9.7
"Southampton County Public Schools","Capron Elementary","White",88.8,11.2
"Southampton County Public Schools","Meherrin Elementary","All Students",85.2,14.8
"Southampton County Public Schools","Meherrin Elementary","Black",86.3,13.7
"Southampton County Public Schools","Meherrin Elementary","Economically Disadvantaged",82.6,17.4
"Southampton County Public Schools","Meherrin Elementary","Female",88.1,11.9
"Southampton County Public Schools","Meherrin Elementary","Homeless",NA,NA
"Southampton County Public Schools","Meherrin Elementary","Male",82.7,17.3
"Southampton County Public Schools","Meherrin Elementary","Multiple Races",100,0
"Southampton County Public Schools","Meherrin Elementary","Students with Disabilities",73.2,26.8
"Southampton County Public Schools","Meherrin Elementary","White",83.2,16.8
"Southampton County Public Schools","Nottoway Elementary","All Students",92.3,7.7
"Southampton County Public Schools","Nottoway Elementary","American Indian",NA,NA
"Southampton County Public Schools","Nottoway Elementary","Black",93.5,6.5
"Southampton County Public Schools","Nottoway Elementary","Economically Disadvantaged",87.2,12.8
"Southampton County Public Schools","Nottoway Elementary","English Learners",0,100
"Southampton County Public Schools","Nottoway Elementary","Female",91.5,8.5
"Southampton County Public Schools","Nottoway Elementary","Hispanic",100,0
"Southampton County Public Schools","Nottoway Elementary","Homeless",NA,NA
"Southampton County Public Schools","Nottoway Elementary","Male",93.1,6.9
"Southampton County Public Schools","Nottoway Elementary","Multiple Races",80,20
"Southampton County Public Schools","Nottoway Elementary","Native Hawaiian",NA,NA
"Southampton County Public Schools","Nottoway Elementary","Students with Disabilities",90.9,9.1
"Southampton County Public Schools","Nottoway Elementary","White",92.5,7.5
"Southampton County Public Schools","Riverdale Elementary","All Students",98.6,1.4
"Southampton County Public Schools","Riverdale Elementary","American Indian",NA,NA
"Southampton County Public Schools","Riverdale Elementary","Asian",100,0
"Southampton County Public Schools","Riverdale Elementary","Black",98.4,1.6
"Southampton County Public Schools","Riverdale Elementary","Economically Disadvantaged",98.4,1.6
"Southampton County Public Schools","Riverdale Elementary","English Learners",100,0
"Southampton County Public Schools","Riverdale Elementary","Female",98.8,1.2
"Southampton County Public Schools","Riverdale Elementary","Hispanic",100,0
"Southampton County Public Schools","Riverdale Elementary","Homeless",NA,NA
"Southampton County Public Schools","Riverdale Elementary","Male",98.4,1.6
"Southampton County Public Schools","Riverdale Elementary","Multiple Races",100,0
"Southampton County Public Schools","Riverdale Elementary","Native Hawaiian",NA,NA
"Southampton County Public Schools","Riverdale Elementary","Students with Disabilities",98.6,1.4
"Southampton County Public Schools","Riverdale Elementary","White",98.7,1.3
"Southampton County Public Schools","Southampton High","All Students",91.3,8.7
"Southampton County Public Schools","Southampton High","American Indian",NA,NA
"Southampton County Public Schools","Southampton High","Asian",100,0
"Southampton County Public Schools","Southampton High","Black",91.8,8.2
"Southampton County Public Schools","Southampton High","Economically Disadvantaged",89.9,10.1
"Southampton County Public Schools","Southampton High","English Learners",100,0
"Southampton County Public Schools","Southampton High","Female",91.4,8.6
"Southampton County Public Schools","Southampton High","Hispanic",94.7,5.3
"Southampton County Public Schools","Southampton High","Homeless",NA,NA
"Southampton County Public Schools","Southampton High","Male",91.1,8.9
"Southampton County Public Schools","Southampton High","Multiple Races",100,0
"Southampton County Public Schools","Southampton High","Native Hawaiian",NA,NA
"Southampton County Public Schools","Southampton High","Students with Disabilities",88.9,11.1
"Southampton County Public Schools","Southampton High","White",90.5,9.5
"Southampton County Public Schools","Southampton Middle","All Students",89,11
"Southampton County Public Schools","Southampton Middle","American Indian",NA,NA
"Southampton County Public Schools","Southampton Middle","Asian",100,0
"Southampton County Public Schools","Southampton Middle","Black",86.7,13.3
"Southampton County Public Schools","Southampton Middle","Economically Disadvantaged",85.5,14.5
"Southampton County Public Schools","Southampton Middle","Female",89.5,10.5
"Southampton County Public Schools","Southampton Middle","Hispanic",100,0
"Southampton County Public Schools","Southampton Middle","Homeless",NA,NA
"Southampton County Public Schools","Southampton Middle","Male",88.6,11.4
"Southampton County Public Schools","Southampton Middle","Multiple Races",93.3,6.7
"Southampton County Public Schools","Southampton Middle","Students with Disabilities",77.3,22.7
"Southampton County Public Schools","Southampton Middle","White",90.1,9.9
"Spotsylvania County Public Schools","Battlefield Elementary","All Students",92.4,7.6
"Spotsylvania County Public Schools","Battlefield Elementary","American Indian",NA,NA
"Spotsylvania County Public Schools","Battlefield Elementary","Asian",100,0
"Spotsylvania County Public Schools","Battlefield Elementary","Black",92,8
"Spotsylvania County Public Schools","Battlefield Elementary","Economically Disadvantaged",89.2,10.8
"Spotsylvania County Public Schools","Battlefield Elementary","English Learners",93.8,6.2
"Spotsylvania County Public Schools","Battlefield Elementary","Female",91.6,8.4
"Spotsylvania County Public Schools","Battlefield Elementary","Hispanic",93.3,6.7
"Spotsylvania County Public Schools","Battlefield Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Battlefield Elementary","Male",93.2,6.8
"Spotsylvania County Public Schools","Battlefield Elementary","Multiple Races",88.4,11.6
"Spotsylvania County Public Schools","Battlefield Elementary","Native Hawaiian",NA,NA
"Spotsylvania County Public Schools","Battlefield Elementary","Students with Disabilities",90.3,9.7
"Spotsylvania County Public Schools","Battlefield Elementary","White",92.8,7.2
"Spotsylvania County Public Schools","Battlefield Middle","All Students",84.9,15.1
"Spotsylvania County Public Schools","Battlefield Middle","American Indian",NA,NA
"Spotsylvania County Public Schools","Battlefield Middle","Asian",96.3,3.7
"Spotsylvania County Public Schools","Battlefield Middle","Black",85.9,14.1
"Spotsylvania County Public Schools","Battlefield Middle","Economically Disadvantaged",78.3,21.7
"Spotsylvania County Public Schools","Battlefield Middle","English Learners",73.9,26.1
"Spotsylvania County Public Schools","Battlefield Middle","Female",83,17
"Spotsylvania County Public Schools","Battlefield Middle","Hispanic",84.4,15.6
"Spotsylvania County Public Schools","Battlefield Middle","Homeless",NA,NA
"Spotsylvania County Public Schools","Battlefield Middle","Male",86.6,13.4
"Spotsylvania County Public Schools","Battlefield Middle","Multiple Races",82.1,17.9
"Spotsylvania County Public Schools","Battlefield Middle","Students with Disabilities",78.6,21.4
"Spotsylvania County Public Schools","Battlefield Middle","White",84.1,15.9
"Spotsylvania County Public Schools","Berkeley Elementary","All Students",86.6,13.4
"Spotsylvania County Public Schools","Berkeley Elementary","Asian",100,0
"Spotsylvania County Public Schools","Berkeley Elementary","Black",100,0
"Spotsylvania County Public Schools","Berkeley Elementary","Economically Disadvantaged",84,16
"Spotsylvania County Public Schools","Berkeley Elementary","English Learners",100,0
"Spotsylvania County Public Schools","Berkeley Elementary","Female",87.9,12.1
"Spotsylvania County Public Schools","Berkeley Elementary","Hispanic",75,25
"Spotsylvania County Public Schools","Berkeley Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Berkeley Elementary","Male",85.5,14.5
"Spotsylvania County Public Schools","Berkeley Elementary","Multiple Races",95.2,4.8
"Spotsylvania County Public Schools","Berkeley Elementary","Students with Disabilities",88.6,11.4
"Spotsylvania County Public Schools","Berkeley Elementary","White",85.3,14.7
"Spotsylvania County Public Schools","Brock Road Elementary","All Students",90.4,9.6
"Spotsylvania County Public Schools","Brock Road Elementary","American Indian",NA,NA
"Spotsylvania County Public Schools","Brock Road Elementary","Asian",75,25
"Spotsylvania County Public Schools","Brock Road Elementary","Black",95.5,4.5
"Spotsylvania County Public Schools","Brock Road Elementary","Economically Disadvantaged",88.8,11.2
"Spotsylvania County Public Schools","Brock Road Elementary","English Learners",90.5,9.5
"Spotsylvania County Public Schools","Brock Road Elementary","Female",89.3,10.7
"Spotsylvania County Public Schools","Brock Road Elementary","Hispanic",90.8,9.2
"Spotsylvania County Public Schools","Brock Road Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Brock Road Elementary","Male",91.5,8.5
"Spotsylvania County Public Schools","Brock Road Elementary","Multiple Races",85.4,14.6
"Spotsylvania County Public Schools","Brock Road Elementary","Native Hawaiian",NA,NA
"Spotsylvania County Public Schools","Brock Road Elementary","Students with Disabilities",74.7,25.3
"Spotsylvania County Public Schools","Brock Road Elementary","White",90.3,9.7
"Spotsylvania County Public Schools","Cedar Forest Elementary","All Students",89.8,10.2
"Spotsylvania County Public Schools","Cedar Forest Elementary","American Indian",NA,NA
"Spotsylvania County Public Schools","Cedar Forest Elementary","Asian",91.7,8.3
"Spotsylvania County Public Schools","Cedar Forest Elementary","Black",86.8,13.2
"Spotsylvania County Public Schools","Cedar Forest Elementary","Economically Disadvantaged",84.4,15.6
"Spotsylvania County Public Schools","Cedar Forest Elementary","English Learners",90.7,9.3
"Spotsylvania County Public Schools","Cedar Forest Elementary","Female",90,10
"Spotsylvania County Public Schools","Cedar Forest Elementary","Hispanic",92.6,7.4
"Spotsylvania County Public Schools","Cedar Forest Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Cedar Forest Elementary","Male",89.6,10.4
"Spotsylvania County Public Schools","Cedar Forest Elementary","Multiple Races",90.9,9.1
"Spotsylvania County Public Schools","Cedar Forest Elementary","Native Hawaiian",NA,NA
"Spotsylvania County Public Schools","Cedar Forest Elementary","Students with Disabilities",80,20
"Spotsylvania County Public Schools","Cedar Forest Elementary","White",89.1,10.9
"Spotsylvania County Public Schools","Chancellor Elementary","All Students",92.2,7.8
"Spotsylvania County Public Schools","Chancellor Elementary","American Indian",NA,NA
"Spotsylvania County Public Schools","Chancellor Elementary","Asian",100,0
"Spotsylvania County Public Schools","Chancellor Elementary","Black",85,15
"Spotsylvania County Public Schools","Chancellor Elementary","Economically Disadvantaged",86,14
"Spotsylvania County Public Schools","Chancellor Elementary","English Learners",88.9,11.1
"Spotsylvania County Public Schools","Chancellor Elementary","Female",90.9,9.1
"Spotsylvania County Public Schools","Chancellor Elementary","Hispanic",94.4,5.6
"Spotsylvania County Public Schools","Chancellor Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Chancellor Elementary","Male",93.6,6.4
"Spotsylvania County Public Schools","Chancellor Elementary","Multiple Races",91.4,8.6
"Spotsylvania County Public Schools","Chancellor Elementary","Students with Disabilities",78.7,21.3
"Spotsylvania County Public Schools","Chancellor Elementary","White",92.5,7.5
"Spotsylvania County Public Schools","Chancellor High","All Students",80.8,19.2
"Spotsylvania County Public Schools","Chancellor High","American Indian",NA,NA
"Spotsylvania County Public Schools","Chancellor High","Asian",87.8,12.2
"Spotsylvania County Public Schools","Chancellor High","Black",76.2,23.8
"Spotsylvania County Public Schools","Chancellor High","Economically Disadvantaged",72.4,27.6
"Spotsylvania County Public Schools","Chancellor High","English Learners",80,20
"Spotsylvania County Public Schools","Chancellor High","Female",79.6,20.4
"Spotsylvania County Public Schools","Chancellor High","Hispanic",80,20
"Spotsylvania County Public Schools","Chancellor High","Homeless",NA,NA
"Spotsylvania County Public Schools","Chancellor High","Male",81.9,18.1
"Spotsylvania County Public Schools","Chancellor High","Multiple Races",77.8,22.2
"Spotsylvania County Public Schools","Chancellor High","Native Hawaiian",NA,NA
"Spotsylvania County Public Schools","Chancellor High","Students with Disabilities",73.6,26.4
"Spotsylvania County Public Schools","Chancellor High","White",83.3,16.7
"Spotsylvania County Public Schools","Chancellor Middle","All Students",89.1,10.9
"Spotsylvania County Public Schools","Chancellor Middle","American Indian",NA,NA
"Spotsylvania County Public Schools","Chancellor Middle","Asian",95,5
"Spotsylvania County Public Schools","Chancellor Middle","Black",86.5,13.5
"Spotsylvania County Public Schools","Chancellor Middle","Economically Disadvantaged",84.1,15.9
"Spotsylvania County Public Schools","Chancellor Middle","English Learners",91,9
"Spotsylvania County Public Schools","Chancellor Middle","Female",91.3,8.7
"Spotsylvania County Public Schools","Chancellor Middle","Hispanic",89.9,10.1
"Spotsylvania County Public Schools","Chancellor Middle","Homeless",NA,NA
"Spotsylvania County Public Schools","Chancellor Middle","Male",87,13
"Spotsylvania County Public Schools","Chancellor Middle","Multiple Races",86.7,13.3
"Spotsylvania County Public Schools","Chancellor Middle","Students with Disabilities",81.5,18.5
"Spotsylvania County Public Schools","Chancellor Middle","White",89.8,10.2
"Spotsylvania County Public Schools","Courthouse Road Elementary","All Students",91.6,8.4
"Spotsylvania County Public Schools","Courthouse Road Elementary","American Indian",NA,NA
"Spotsylvania County Public Schools","Courthouse Road Elementary","Asian",100,0
"Spotsylvania County Public Schools","Courthouse Road Elementary","Black",89.7,10.3
"Spotsylvania County Public Schools","Courthouse Road Elementary","Economically Disadvantaged",86.4,13.6
"Spotsylvania County Public Schools","Courthouse Road Elementary","English Learners",93.3,6.7
"Spotsylvania County Public Schools","Courthouse Road Elementary","Female",92.4,7.6
"Spotsylvania County Public Schools","Courthouse Road Elementary","Hispanic",92.5,7.5
"Spotsylvania County Public Schools","Courthouse Road Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Courthouse Road Elementary","Male",90.8,9.2
"Spotsylvania County Public Schools","Courthouse Road Elementary","Multiple Races",91.4,8.6
"Spotsylvania County Public Schools","Courthouse Road Elementary","Native Hawaiian",NA,NA
"Spotsylvania County Public Schools","Courthouse Road Elementary","Students with Disabilities",89.6,10.4
"Spotsylvania County Public Schools","Courthouse Road Elementary","White",92,8
"Spotsylvania County Public Schools","Courtland Elementary","All Students",92.6,7.4
"Spotsylvania County Public Schools","Courtland Elementary","Asian",75,25
"Spotsylvania County Public Schools","Courtland Elementary","Black",92.4,7.6
"Spotsylvania County Public Schools","Courtland Elementary","Economically Disadvantaged",89.3,10.7
"Spotsylvania County Public Schools","Courtland Elementary","English Learners",89.7,10.3
"Spotsylvania County Public Schools","Courtland Elementary","Female",93,7
"Spotsylvania County Public Schools","Courtland Elementary","Hispanic",92.4,7.6
"Spotsylvania County Public Schools","Courtland Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Courtland Elementary","Male",92.2,7.8
"Spotsylvania County Public Schools","Courtland Elementary","Multiple Races",86.7,13.3
"Spotsylvania County Public Schools","Courtland Elementary","Students with Disabilities",93.1,6.9
"Spotsylvania County Public Schools","Courtland Elementary","White",93.9,6.1
"Spotsylvania County Public Schools","Courtland High","All Students",82.7,17.3
"Spotsylvania County Public Schools","Courtland High","American Indian",NA,NA
"Spotsylvania County Public Schools","Courtland High","Asian",87.9,12.1
"Spotsylvania County Public Schools","Courtland High","Black",80.8,19.2
"Spotsylvania County Public Schools","Courtland High","Economically Disadvantaged",72.3,27.7
"Spotsylvania County Public Schools","Courtland High","English Learners",74.5,25.5
"Spotsylvania County Public Schools","Courtland High","Female",83.3,16.7
"Spotsylvania County Public Schools","Courtland High","Hispanic",80.1,19.9
"Spotsylvania County Public Schools","Courtland High","Homeless",NA,NA
"Spotsylvania County Public Schools","Courtland High","Male",82.1,17.9
"Spotsylvania County Public Schools","Courtland High","Multiple Races",84.1,15.9
"Spotsylvania County Public Schools","Courtland High","Native Hawaiian",NA,NA
"Spotsylvania County Public Schools","Courtland High","Students with Disabilities",69.6,30.4
"Spotsylvania County Public Schools","Courtland High","White",83.6,16.4
"Spotsylvania County Public Schools","Freedom Middle","All Students",89.7,10.3
"Spotsylvania County Public Schools","Freedom Middle","American Indian",NA,NA
"Spotsylvania County Public Schools","Freedom Middle","Asian",91.3,8.7
"Spotsylvania County Public Schools","Freedom Middle","Black",88.9,11.1
"Spotsylvania County Public Schools","Freedom Middle","Economically Disadvantaged",83,17
"Spotsylvania County Public Schools","Freedom Middle","English Learners",87.5,12.5
"Spotsylvania County Public Schools","Freedom Middle","Female",90.3,9.7
"Spotsylvania County Public Schools","Freedom Middle","Hispanic",88.4,11.6
"Spotsylvania County Public Schools","Freedom Middle","Homeless",NA,NA
"Spotsylvania County Public Schools","Freedom Middle","Male",89.2,10.8
"Spotsylvania County Public Schools","Freedom Middle","Multiple Races",85.3,14.7
"Spotsylvania County Public Schools","Freedom Middle","Native Hawaiian",NA,NA
"Spotsylvania County Public Schools","Freedom Middle","Students with Disabilities",76.8,23.2
"Spotsylvania County Public Schools","Freedom Middle","White",90.9,9.1
"Spotsylvania County Public Schools","Harrison Road Elementary","All Students",93.1,6.9
"Spotsylvania County Public Schools","Harrison Road Elementary","Asian",95.5,4.5
"Spotsylvania County Public Schools","Harrison Road Elementary","Black",96.4,3.6
"Spotsylvania County Public Schools","Harrison Road Elementary","Economically Disadvantaged",92.5,7.5
"Spotsylvania County Public Schools","Harrison Road Elementary","English Learners",96.4,3.6
"Spotsylvania County Public Schools","Harrison Road Elementary","Female",94.6,5.4
"Spotsylvania County Public Schools","Harrison Road Elementary","Hispanic",95.6,4.4
"Spotsylvania County Public Schools","Harrison Road Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Harrison Road Elementary","Male",91.8,8.2
"Spotsylvania County Public Schools","Harrison Road Elementary","Multiple Races",87.9,12.1
"Spotsylvania County Public Schools","Harrison Road Elementary","Students with Disabilities",87,13
"Spotsylvania County Public Schools","Harrison Road Elementary","White",91.1,8.9
"Spotsylvania County Public Schools","Lee Hill Elementary","All Students",87.8,12.2
"Spotsylvania County Public Schools","Lee Hill Elementary","Asian",80,20
"Spotsylvania County Public Schools","Lee Hill Elementary","Black",89,11
"Spotsylvania County Public Schools","Lee Hill Elementary","Economically Disadvantaged",84.7,15.3
"Spotsylvania County Public Schools","Lee Hill Elementary","English Learners",92.1,7.9
"Spotsylvania County Public Schools","Lee Hill Elementary","Female",87.6,12.4
"Spotsylvania County Public Schools","Lee Hill Elementary","Hispanic",91.9,8.1
"Spotsylvania County Public Schools","Lee Hill Elementary","Homeless",NA,NA
"Spotsylvania County Public Schools","Lee Hill Elementary","Male",88,12
"Spotsylvania County Public Schools","Lee Hill Elementary","Multiple Races",85,15
"Spotsylvania County Public Schools","Lee Hill Elementary","Students with Disabilities",80,20
